Skills,Occupation Code,Weight
Handling and moving objects,13-1199.03,21
Inspecting equipment structures or material,13-1041.03,21
Inspecting equipment structures or material,13-1075.00,21
Inspecting equipment structures or material,13-2099.01,21
Interpreting the meaning of information for others,13-1074.00,21
Monitoring and controlling resources,13-1041.03,21
Operating vehicles mechanized devices or equipment,13-1081.02,21
Performing for or working directly with the public,13-1199.04,21
Performing general physical activities,13-1199.05,21
Repairing and maintaining electronic equipment,13-1081.00,21
Scheduling work and activities,13-2071.01,21
Staffing organizational units,13-1032.00,21
Staffing organizational units,13-2071.01,21
Exposed to contaminants,13-2071.01,21
Exposed to minor burns cuts bites or stings,13-1121.00,21
Exposed to radiation,13-1041.06,21
In an enclosed vehicle or equipment,13-2011.02,21
In an open vehicle or equipment,13-1081.01,21
Spend time standing,13-1141.00,21
Spend time standing,13-2052.00,21
Spend time standing,13-2072.00,21
Spend time walking and running,13-2081.00,21
Arm hand steadiness,13-1021.00,22
Arm hand steadiness,13-2021.02,22
Arm hand steadiness,13-2082.00,22
Arm hand steadiness,13-2099.01,22
Auditory attention,13-1023.00,22
Auditory attention,13-1051.00,22
Auditory attention,13-1071.00,22
Auditory attention,13-1075.00,22
Auditory attention,13-1111.00,22
Auditory attention,13-1131.00,22
Auditory attention,13-1151.00,22
Auditory attention,13-1161.00,22
Auditory attention,13-2011.01,22
Auditory attention,13-2021.02,22
Auditory attention,13-2031.00,22
Auditory attention,13-2099.04,22
Control precision,13-2081.00,22
Depth perception,13-1021.00,22
Depth perception,13-1031.02,22
Depth perception,13-1121.00,22
Depth perception,13-1199.04,22
Depth perception,13-1199.05,22
Dynamic strength,13-1041.01,22
Dynamic strength,13-1041.04,22
Dynamic strength,13-1074.00,22
Dynamic strength,13-1121.00,22
Extent flexibility,13-1041.01,22
Extent flexibility,13-1074.00,22
Extent flexibility,13-1121.00,22
Far vision,13-2072.00,22
Finger dexterity,13-1141.00,22
Finger dexterity,13-1161.00,22
Finger dexterity,13-2051.00,22
Finger dexterity,13-2053.00,22
Finger dexterity,13-2099.02,22
Glare sensitivity,13-1041.01,22
Glare sensitivity,13-1041.06,22
Glare sensitivity,13-1121.00,22
Gross body coordination,13-1121.00,22
Gross body coordination,13-2021.01,22
Gross body equilibrium,13-1041.04,22
Gross body equilibrium,13-1121.00,22
Gross body equilibrium,13-2021.01,22
Hearing sensitivity,13-1041.03,22
Hearing sensitivity,13-1071.00,22
Hearing sensitivity,13-1121.00,22
Hearing sensitivity,13-1141.00,22
Hearing sensitivity,13-1151.00,22
Hearing sensitivity,13-1161.00,22
Hearing sensitivity,13-1199.03,22
Hearing sensitivity,13-1199.06,22
Hearing sensitivity,13-2041.00,22
Hearing sensitivity,13-2051.00,22
Hearing sensitivity,13-2052.00,22
Hearing sensitivity,13-2081.00,22
Hearing sensitivity,13-2082.00,22
Hearing sensitivity,13-2099.01,22
Hearing sensitivity,13-2099.04,22
Manual dexterity,13-2021.02,22
Manual dexterity,13-2082.00,22
Manual dexterity,13-2099.01,22
Multilimb coordination,13-1022.00,22
Multilimb coordination,13-1199.02,22
Night vision,13-1041.04,22
Night vision,13-1074.00,22
Peripheral vision,13-1032.00,22
Peripheral vision,13-1041.01,22
Rate control,13-1041.01,22
Rate control,13-1041.02,22
Rate control,13-1041.04,22
Reaction time,13-1041.02,22
Reaction time,13-2021.02,22
Response orientation,13-1041.01,22
Response orientation,13-2021.02,22
Sound localization,13-1041.01,22
Sound localization,13-1041.04,22
Spatial orientation,13-1041.06,22
Speech of limb movement,13-1041.01,22
Stamina,13-1021.00,22
Stamina,13-2021.01,22
Static strength,13-1121.00,22
Trunk strength,13-1021.00,22
Trunk strength,13-1032.00,22
Trunk strength,13-2071.01,22
Visual color discrimination,13-1023.00,22
Visual color discrimination,13-1041.03,22
Visual color discrimination,13-1051.00,22
Visual color discrimination,13-1141.00,22
Visual color discrimination,13-2071.00,22
Visual color discrimination,13-2081.00,22
Visual color discrimination,13-2099.01,22
Visualization,13-1023.00,22
Visualization,13-1074.00,22
Wrist finger speed,13-2099.01,22
Design,13-1032.00,22
Design,13-1161.00,22
Design,13-2099.02,22
Economics and accounting,13-1151.00,22
Engineering and technology,13-1022.00,22
Engineering and technology,13-1032.00,22
Food production,13-2099.02,22
Foreign language,13-1022.00,22
Geography,13-1051.00,22
Personnel and human resources,13-2021.02,22
Personnel and human resources,13-2071.00,22
Personnel and human resources,13-2082.00,22
Philosophy and theology,13-1111.00,22
Philosophy and theology,13-1141.00,22
Physics,13-1081.02,22
Production and processing,13-1031.01,22
Production and processing,13-1041.06,22
Production and processing,13-1199.05,22
Production and processing,13-2021.02,22
Psychology,13-1074.00,22
Public safety and security,13-1199.06,22
Sociology and anthropology,13-1081.00,22
Telecommunications,13-1111.00,22
Therapy and counseling,13-1074.00,22
Equipment selection,13-1199.02,22
Instructing,13-2021.02,22
Learning strategies,13-2021.02,22
Management of financial resources,13-1041.06,22
Management of financial resources,13-1074.00,22
Management of financial resources,13-1111.00,22
Management of financial resources,13-2081.00,22
Management of financial resources,13-2082.00,22
Management of material resources,13-1011.00,22
Management of material resources,13-1041.07,22
Management of material resources,13-1074.00,22
Management of material resources,13-2021.01,22
Management of material resources,13-2041.00,22
Management of material resources,13-2099.01,22
Management of personnel resources,13-2021.02,22
Management of personnel resources,13-2051.00,22
Operation and control,13-1021.00,22
Operation monitoring,13-1141.00,22
Operation monitoring,13-1161.00,22
Operation monitoring,13-1199.03,22
Operation monitoring,13-1199.06,22
Operation monitoring,13-2011.01,22
Operation monitoring,13-2021.02,22
Operation monitoring,13-2031.00,22
Operation monitoring,13-2041.00,22
Operation monitoring,13-2053.00,22
Operation monitoring,13-2061.00,22
Operations analysis,13-1021.00,22
Operations analysis,13-1032.00,22
Operations analysis,13-1041.02,22
Operations analysis,13-1041.06,22
Operations analysis,13-2021.01,22
Operations analysis,13-2053.00,22
Operations analysis,13-2081.00,22
Operations analysis,13-2099.01,22
Programming,13-1041.01,22
Programming,13-1041.03,22
Programming,13-1051.00,22
Programming,13-1081.00,22
Programming,13-1199.03,22
Programming,13-1199.05,22
Programming,13-2011.02,22
Programming,13-2031.00,22
Programming,13-2051.00,22
Programming,13-2061.00,22
Quality control analysis,13-1031.01,22
Quality control analysis,13-2099.01,22
Repairing,13-1199.02,22
Science,13-1041.04,22
Science,13-1151.00,22
Science,13-1199.05,22
Science,13-2011.01,22
Science,13-2011.02,22
Science,13-2021.02,22
Science,13-2099.01,22
Systems evaluation,13-1074.00,22
Technology design,13-1199.04,22
Technology design,13-2011.02,22
Troubleshooting,13-1081.02,22
Resolving conflicts and negotiating with others,13-2051.00,22
Assisting and caring for others,13-2021.01,22
Controlling machines and processes,13-1081.00,22
Controlling machines and processes,13-1081.02,22
Controlling machines and processes,13-1199.02,22
Controlling machines and processes,13-1199.03,22
Controlling machines and processes,13-2081.00,22
Handling and moving objects,13-1081.00,22
Handling and moving objects,13-1151.00,22
Inspecting equipment structures or material,13-1161.00,22
Performing general physical activities,13-2099.02,22
Repairing and maintaining mechanical equipment,13-1074.00,22
Staffing organizational units,13-1199.05,22
Staffing organizational units,13-2061.00,22
Consequence of error,13-1121.00,22
Deal with physically aggressive people,13-2099.04,22
Exposed to hazardous equipment,13-1081.00,22
Exposed to minor burns cuts bites or stings,13-1041.04,22
Extremely bright or inadequate lighting,13-1081.00,22
In an enclosed vehicle or equipment,13-2061.00,22
Indoors not environmentally controlled,13-1031.01,22
Indoors not environmentally controlled,13-2099.04,22
Public speaking,13-2011.01,22
Responsibility for outcomes and results,13-1031.02,22
Responsible for others health and safety,13-1041.03,22
Responsible for others health and safety,13-1199.05,22
Responsible for others health and safety,13-2072.00,22
Sounds noise levels are distracting,13-1199.04,22
Spend time climbing ladders scaffolds,13-1041.01,22
Spend time making repetitive motions,13-1074.00,22
Spend time making repetitive motions,13-1199.02,22
Spend time standing,13-1041.07,22
Spend time standing,13-1081.02,22
Spend time standing,13-1161.00,22
Spend time standing,13-2011.01,22
Spend time standing,13-2051.00,22
Spend time walking and running,13-1041.03,22
Spend time walking and running,13-1081.01,22
Spend time walking and running,13-1151.00,22
Spend time walking and running,13-1199.05,22
Education and training,13-2053.00,23
Engineering and technology,13-1121.00,23
Engineering and technology,13-1161.00,23
Foreign language,13-1081.00,23
Foreign language,13-1111.00,23
History and archeology,13-1041.06,23
Mechanical,13-1031.02,23
Medicine and dentistry,13-1041.01,23
Philosophy and theology,13-1011.00,23
Philosophy and theology,13-1023.00,23
Philosophy and theology,13-2099.04,23
Psychology,13-1199.06,23
Psychology,13-2021.01,23
Sales_and_Marketing,13-1071.00,23
Sociology and anthropology,13-2031.00,23
Telecommunications,13-1041.01,23
Telecommunications,13-1041.04,23
Telecommunications,13-2011.02,23
Transportation,13-1031.01,23
Assisting and caring for others,13-1041.01,23
Assisting and caring for others,13-2099.04,23
Monitoring and controlling resources,13-1041.02,23
Operating vehicles mechanized devices or equipment,13-1081.00,23
Performing for or working directly with the public,13-2061.00,23
Performing general physical activities,13-1071.00,23
Repairing and maintaining electronic equipment,13-1041.02,23
Repairing and maintaining mechanical equipment,13-1121.00,23
Staffing organizational units,13-2071.00,23
Deal with physically aggressive people,13-1075.00,23
Degree of automation,13-1075.00,23
Degree of automation,13-1131.00,23
Exposed to contaminants,13-1022.00,23
Exposed to contaminants,13-1081.02,23
Exposed to hazardous conditions,13-1032.00,23
Exposed to high places,13-1051.00,23
In an enclosed vehicle or equipment,13-1041.03,23
In an open vehicle or equipment,13-1081.00,23
Outdoors under cover,13-1121.00,23
Public speaking,13-2021.01,23
Public speaking,13-2053.00,23
Responsibility for outcomes and results,13-2071.00,23
Sounds noise levels are distracting,13-2099.01,23
Spend time making repetitive motions,13-1081.01,23
Spend time standing,13-1041.03,23
Spend time standing,13-1199.04,23
Spend time standing,13-1199.05,23
Spend time walking and running,13-1022.00,23
Spend time walking and running,13-1032.00,23
Spend time walking and running,13-1081.00,23
Spend time walking and running,13-1199.02,23
Building and construction,13-1021.00,24
Chemistry,13-1023.00,24
Engineering and technology,13-1041.06,24
Geography,13-1199.01,24
Mechanical,13-1041.06,24
Mechanical,13-1081.00,24
Personnel and human resources,13-1022.00,24
Personnel and human resources,13-1041.01,24
Personnel and human resources,13-2061.00,24
Philosophy and theology,13-1041.02,24
Production and processing,13-2099.01,24
Psychology,13-1051.00,24
Psychology,13-1081.02,24
Public safety and security,13-1031.02,24
Public safety and security,13-1041.07,24
Public safety and security,13-2053.00,24
Public safety and security,13-2061.00,24
Sales_and_Marketing,13-1041.04,24
Sociology and anthropology,13-1071.00,24
Sociology and anthropology,13-1199.02,24
Telecommunications,13-1031.01,24
Telecommunications,13-2021.02,24
Telecommunications,13-2061.00,24
Telecommunications,13-2071.00,24
Therapy and counseling,13-1031.01,24
Therapy and counseling,13-2099.02,24
Transportation,13-1022.00,24
Selling or influencing others,13-2031.00,24
Assisting and caring for others,13-2021.02,24
Assisting and caring for others,13-2041.00,24
Assisting and caring for others,13-2071.01,24
Controlling machines and processes,13-1041.06,24
Controlling machines and processes,13-1199.06,24
Handling and moving objects,13-2021.01,24
Inspecting equipment structures or material,13-1199.03,24
Operating vehicles mechanized devices or equipment,13-1023.00,24
Operating vehicles mechanized devices or equipment,13-2099.04,24
Performing general physical activities,13-1081.01,24
Repairing and maintaining electronic equipment,13-1041.06,24
Repairing and maintaining mechanical equipment,13-1081.02,24
Deal with physically aggressive people,13-1041.03,24
Deal with unpleasant or angry people,13-1199.05,24
Degree of automation,13-1041.07,24
Exposed to hazardous conditions,13-1041.02,24
Exposed to hazardous conditions,13-1199.01,24
Exposed to high places,13-1041.06,24
In an enclosed vehicle or equipment,13-1199.03,24
Indoors not environmentally controlled,13-1111.00,24
Outdoors exposed to weather,13-1081.02,24
Outdoors under cover,13-1081.00,24
Outdoors under cover,13-2099.02,24
Public speaking,13-1041.04,24
Sounds noise levels are distracting,13-2071.00,24
Spend time bending or twisting the body,13-1031.02,24
Spend time bending or twisting the body,13-1041.01,24
Spend time kneeling crouching stooping,13-1041.02,24
Spend time making repetitive motions,13-1075.00,24
Spend time walking and running,13-1011.00,24
Arm hand steadiness,13-1022.00,25
Arm hand steadiness,13-1031.02,25
Arm hand steadiness,13-2021.01,25
Auditory attention,13-1021.00,25
Auditory attention,13-1081.00,25
Auditory attention,13-1141.00,25
Auditory attention,13-1199.03,25
Auditory attention,13-1199.04,25
Auditory attention,13-2011.02,25
Auditory attention,13-2061.00,25
Auditory attention,13-2081.00,25
Control precision,13-1031.02,25
Control precision,13-1121.00,25
Control precision,13-1199.02,25
Control precision,13-2021.02,25
Dynamic strength,13-1041.02,25
Dynamic strength,13-1041.06,25
Dynamic strength,13-1199.01,25
Extent flexibility,13-1041.04,25
Far vision,13-2071.00,25
Far vision,13-2082.00,25
Finger dexterity,13-1022.00,25
Finger dexterity,13-1041.03,25
Finger dexterity,13-1074.00,25
Finger dexterity,13-1081.00,25
Finger dexterity,13-2099.01,25
Glare sensitivity,13-1032.00,25
Glare sensitivity,13-1041.02,25
Glare sensitivity,13-1074.00,25
Gross body coordination,13-1041.02,25
Gross body coordination,13-1041.04,25
Gross body coordination,13-1041.06,25
Gross body coordination,13-1074.00,25
Gross body equilibrium,13-1041.02,25
Hearing sensitivity,13-1021.00,25
Hearing sensitivity,13-1031.01,25
Hearing sensitivity,13-1031.02,25
Hearing sensitivity,13-1041.06,25
Hearing sensitivity,13-1041.07,25
Hearing sensitivity,13-1199.04,25
Hearing sensitivity,13-2011.01,25
Hearing sensitivity,13-2011.02,25
Hearing sensitivity,13-2021.01,25
Hearing sensitivity,13-2031.00,25
Hearing sensitivity,13-2061.00,25
Hearing sensitivity,13-2071.00,25
Hearing sensitivity,13-2099.02,25
Manual dexterity,13-1022.00,25
Manual dexterity,13-1031.02,25
Manual dexterity,13-1081.01,25
Manual dexterity,13-2021.01,25
Manual dexterity,13-2081.00,25
Memorization,13-1032.00,25
Memorization,13-1051.00,25
Memorization,13-2021.02,25
Multilimb coordination,13-1032.00,25
Multilimb coordination,13-2021.01,25
Multilimb coordination,13-2021.02,25
Night vision,13-1041.02,25
Night vision,13-1199.01,25
Peripheral vision,13-1041.02,25
Peripheral vision,13-1041.04,25
Peripheral vision,13-1199.01,25
Rate control,13-1199.01,25
Reaction time,13-1041.01,25
Reaction time,13-1041.06,25
Reaction time,13-1199.01,25
Response orientation,13-1199.01,25
Sound localization,13-1041.02,25
Spatial orientation,13-1041.02,25
Spatial orientation,13-1074.00,25
Spatial orientation,13-1199.01,25
Spatial orientation,13-2021.02,25
Speech of closure,13-1074.00,25
Stamina,13-1041.01,25
Stamina,13-1041.02,25
Stamina,13-1041.06,25
Stamina,13-1074.00,25
Stamina,13-1121.00,25
Stamina,13-1199.01,25
Static strength,13-1022.00,25
Static strength,13-1041.01,25
Static strength,13-1041.02,25
Time sharing,13-1022.00,25
Time sharing,13-2041.00,25
Trunk strength,13-1151.00,25
Trunk strength,13-2099.01,25
Visual color discrimination,13-1011.00,25
Visual color discrimination,13-1031.02,25
Visual color discrimination,13-1081.00,25
Visual color discrimination,13-1131.00,25
Visual color discrimination,13-1151.00,25
Visual color discrimination,13-1161.00,25
Visual color discrimination,13-1199.03,25
Visual color discrimination,13-1199.04,25
Visual color discrimination,13-2011.01,25
Visual color discrimination,13-2011.02,25
Visual color discrimination,13-2041.00,25
Visual color discrimination,13-2053.00,25
Visual color discrimination,13-2082.00,25
Visual color discrimination,13-2099.02,25
Visual color discrimination,13-2099.04,25
Visualization,13-1141.00,25
Visualization,13-2052.00,25
Visualization,13-2053.00,25
Wrist finger speed,13-1041.04,25
Wrist finger speed,13-1199.01,25
Biology,13-1021.00,25
Communications and media,13-2072.00,25
Economics and accounting,13-1031.02,25
Economics and accounting,13-1041.01,25
Education and training,13-1011.00,25
Education and training,13-2041.00,25
Food production,13-1041.01,25
Foreign language,13-1032.00,25
Foreign language,13-2081.00,25
Geography,13-1121.00,25
Geography,13-2053.00,25
Mechanical,13-1199.06,25
Medicine and dentistry,13-1041.02,25
Personnel and human resources,13-1031.01,25
Philosophy and theology,13-1161.00,25
Physics,13-1199.02,25
Physics,13-2099.01,25
Production and processing,13-1041.04,25
Production and processing,13-2053.00,25
Production and processing,13-2072.00,25
Psychology,13-1081.01,25
Psychology,13-2011.02,25
Psychology,13-2082.00,25
Sales_and_Marketing,13-1041.07,25
Sales_and_Marketing,13-1075.00,25
Sales_and_Marketing,13-1141.00,25
Sales_and_Marketing,13-2082.00,25
Sociology and anthropology,13-1011.00,25
Telecommunications,13-1022.00,25
Telecommunications,13-2031.00,25
Equipment selection,13-1199.01,25
Instructing,13-1031.02,25
Management of financial resources,13-1032.00,25
Management of financial resources,13-1041.02,25
Management of financial resources,13-1041.04,25
Management of financial resources,13-1041.07,25
Management of financial resources,13-1141.00,25
Management of financial resources,13-1199.01,25
Management of financial resources,13-2021.01,25
Management of financial resources,13-2021.02,25
Management of financial resources,13-2053.00,25
Management of financial resources,13-2099.04,25
Management of material resources,13-1041.02,25
Management of material resources,13-1041.06,25
Management of material resources,13-1111.00,25
Management of material resources,13-1141.00,25
Management of material resources,13-1199.01,25
Management of material resources,13-2011.01,25
Management of material resources,13-2011.02,25
Management of material resources,13-2021.02,25
Management of material resources,13-2053.00,25
Management of material resources,13-2099.04,25
Operation and control,13-1032.00,25
Operation and control,13-1041.02,25
Operation and control,13-1121.00,25
Operation and control,13-2021.01,25
Operation and control,13-2021.02,25
Operation and control,13-2099.04,25
Operation monitoring,13-1031.02,25
Operation monitoring,13-1041.07,25
Operation monitoring,13-1081.00,25
Operation monitoring,13-1121.00,25
Operation monitoring,13-1199.04,25
Operation monitoring,13-2011.02,25
Operation monitoring,13-2099.02,25
Operation monitoring,13-2099.04,25
Operations analysis,13-1041.03,25
Operations analysis,13-1199.06,25
Programming,13-1041.07,25
Programming,13-1081.02,25
Programming,13-1199.04,25
Programming,13-2041.00,25
Programming,13-2099.02,25
Quality control analysis,13-1041.06,25
Quality control analysis,13-2011.02,25
Quality control analysis,13-2082.00,25
Science,13-1111.00,25
Technology design,13-1199.05,25
Technology design,13-2099.02,25
Troubleshooting,13-1031.02,25
Troubleshooting,13-2021.01,25
Assisting and caring for others,13-2061.00,25
Monitoring and controlling resources,13-2021.01,25
Monitoring and controlling resources,13-2053.00,25
Operating vehicles mechanized devices or equipment,13-1075.00,25
Performing for or working directly with the public,13-1051.00,25
Performing general physical activities,13-2099.04,25
Staffing organizational units,13-1041.03,25
Staffing organizational units,13-1041.04,25
Staffing organizational units,13-2081.00,25
Staffing organizational units,13-2099.01,25
Consequence of error,13-1199.05,25
Exposed to disease or infections,13-1041.04,25
Extremely bright or inadequate lighting,13-1081.01,25
Indoors not environmentally controlled,13-1199.06,25
Public speaking,13-1021.00,25
Public speaking,13-2031.00,25
Responsible for others health and safety,13-1141.00,25
Responsible for others health and safety,13-2061.00,25
Sounds noise levels are distracting,13-1011.00,25
Sounds noise levels are distracting,13-1022.00,25
Spend time making repetitive motions,13-1041.01,25
Spend time standing,13-1051.00,25
Spend time standing,13-1081.01,25
Spend time standing,13-2099.02,25
Communications and media,13-2021.02,26
Communications and media,13-2061.00,26
Communications and media,13-2082.00,26
Design,13-2021.02,26
Engineering and technology,13-2051.00,26
Food production,13-1121.00,26
Foreign language,13-1041.02,26
Foreign language,13-1041.06,26
Law and government,13-1022.00,26
Medicine and dentistry,13-2099.02,26
Psychology,13-1031.02,26
Public safety and security,13-1071.00,26
Public safety and security,13-1141.00,26
Sociology and anthropology,13-1023.00,26
Sociology and anthropology,13-1131.00,26
Telecommunications,13-1051.00,26
Telecommunications,13-1075.00,26
Telecommunications,13-2081.00,26
Therapy and counseling,13-1141.00,26
Selling or influencing others,13-1041.02,26
Assisting and caring for others,13-1081.00,26
Controlling machines and processes,13-1081.01,26
Controlling machines and processes,13-2021.01,26
Guiding directing and motivating subordinates,13-2021.02,26
Handling and moving objects,13-1071.00,26
Inspecting equipment structures or material,13-2072.00,26
Inspecting equipment structures or material,13-2082.00,26
Operating vehicles mechanized devices or equipment,13-1081.01,26
Staffing organizational units,13-1141.00,26
Staffing organizational units,13-1199.06,26
Staffing organizational units,13-2031.00,26
Staffing organizational units,13-2082.00,26
Degree of automation,13-1011.00,26
Exposed to contaminants,13-1199.02,26
Extremely bright or inadequate lighting,13-1041.04,26
Importance of repeating same tasks,13-1075.00,26
Outdoors under cover,13-1021.00,26
Public speaking,13-1074.00,26
Public speaking,13-2021.02,26
Responsibility for outcomes and results,13-2082.00,26
Responsible for others health and safety,13-1131.00,26
Responsible for others health and safety,13-2011.02,26
Spend time making repetitive motions,13-1151.00,26
Spend time making repetitive motions,13-1199.04,26
Spend time standing,13-1031.02,26
Spend time standing,13-1071.00,26
Spend time walking and running,13-1023.00,26
Communications and media,13-2053.00,27
Design,13-1041.07,27
Design,13-1081.00,27
Education and training,13-1022.00,27
Law and government,13-1151.00,27
Mechanical,13-1031.01,27
Philosophy and theology,13-1151.00,27
Public safety and security,13-1041.03,27
Public safety and security,13-2031.00,27
Sales_and_Marketing,13-1081.02,27
Sociology and anthropology,13-1121.00,27
Telecommunications,13-1161.00,27
Telecommunications,13-2099.04,27
Transportation,13-2051.00,27
Selling or influencing others,13-2081.00,27
Assisting and caring for others,13-1041.07,27
Inspecting equipment structures or material,13-1071.00,27
Monitor processes materials or surroundings,13-2071.01,27
Repairing and maintaining electronic equipment,13-1199.01,27
Repairing and maintaining mechanical equipment,13-1199.01,27
Staffing organizational units,13-2072.00,27
Consequence of error,13-1151.00,27
Degree of automation,13-1151.00,27
Degree of automation,13-1199.01,27
Degree of automation,13-2099.01,27
Importance of repeating same tasks,13-1111.00,27
In an enclosed vehicle or equipment,13-1022.00,27
In an enclosed vehicle or equipment,13-1111.00,27
Indoors not environmentally controlled,13-1051.00,27
Outdoors exposed to weather,13-1031.01,27
Outdoors exposed to weather,13-1051.00,27
Outdoors exposed to weather,13-1199.05,27
Outdoors under cover,13-1199.05,27
Responsible for others health and safety,13-2052.00,27
Spend time making repetitive motions,13-1131.00,27
Spend time making repetitive motions,13-1199.01,27
Spend time making repetitive motions,13-2099.01,27
Spend time standing,13-1021.00,27
Spend time standing,13-1031.01,27
Spend time standing,13-1131.00,27
Spend time standing,13-2081.00,27
Spend time standing,13-2099.04,27
Auditory attention,13-1011.00,28
Auditory attention,13-1032.00,28
Auditory attention,13-1074.00,28
Auditory attention,13-2021.01,28
Auditory attention,13-2072.00,28
Auditory attention,13-2099.02,28
Control precision,13-1032.00,28
Control precision,13-2021.01,28
Depth perception,13-1199.01,28
Extent flexibility,13-1041.02,28
Extent flexibility,13-1041.06,28
Far vision,13-1023.00,28
Finger dexterity,13-1021.00,28
Finger dexterity,13-1023.00,28
Finger dexterity,13-1032.00,28
Finger dexterity,13-1071.00,28
Finger dexterity,13-1199.05,28
Finger dexterity,13-2011.01,28
Finger dexterity,13-2021.02,28
Finger dexterity,13-2071.01,28
Fluency of ideas,13-1074.00,28
Glare sensitivity,13-1199.01,28
Gross body coordination,13-1199.01,28
Hearing sensitivity,13-1011.00,28
Hearing sensitivity,13-1074.00,28
Hearing sensitivity,13-1081.02,28
Manual dexterity,13-1032.00,28
Manual dexterity,13-1041.01,28
Mathematical reasoning,13-1074.00,28
Memorization,13-1022.00,28
Memorization,13-1031.02,28
Memorization,13-1074.00,28
Memorization,13-2051.00,28
Memorization,13-2053.00,28
Number facility,13-1074.00,28
Perceptual speed,13-1074.00,28
Perceptual speed,13-1131.00,28
Perceptual speed,13-2072.00,28
Peripheral vision,13-1074.00,28
Reaction time,13-1041.04,28
Response orientation,13-1041.04,28
Sound localization,13-1199.01,28
Spatial orientation,13-1032.00,28
Speech of closure,13-1199.06,28
Speech of limb movement,13-1074.00,28
Stamina,13-1041.04,28
Static strength,13-1041.04,28
Static strength,13-1074.00,28
Static strength,13-1199.01,28
Time sharing,13-1051.00,28
Time sharing,13-1141.00,28
Time sharing,13-1199.06,28
Time sharing,13-2051.00,28
Time sharing,13-2099.01,28
Trunk strength,13-1022.00,28
Trunk strength,13-1041.01,28
Trunk strength,13-1041.02,28
Trunk strength,13-1075.00,28
Trunk strength,13-2021.01,28
Visual color discrimination,13-1041.07,28
Visual color discrimination,13-1081.02,28
Visual color discrimination,13-1199.06,28
Visual color discrimination,13-2021.02,28
Visual color discrimination,13-2031.00,28
Visualization,13-1021.00,28
Visualization,13-1199.03,28
Visualization,13-2031.00,28
Visualization,13-2041.00,28
Visualization,13-2071.01,28
Communications and media,13-1031.02,28
Design,13-1021.00,28
Engineering and technology,13-2099.02,28
Personnel and human resources,13-2021.01,28
Production and processing,13-1161.00,28
Production and processing,13-2052.00,28
Psychology,13-2041.00,28
Sales_and_Marketing,13-2041.00,28
Sociology and anthropology,13-1041.02,28
Sociology and anthropology,13-2099.02,28
Therapy and counseling,13-1071.00,28
Therapy and counseling,13-2071.01,28
Transportation,13-1199.02,28
Equipment maintenance,13-1081.01,28
Equipment maintenance,13-1199.02,28
Learning strategies,13-1032.00,28
Management of financial resources,13-1031.01,28
Management of financial resources,13-1075.00,28
Management of financial resources,13-1199.05,28
Management of financial resources,13-2071.01,28
Management of material resources,13-1031.02,28
Management of material resources,13-1041.04,28
Management of material resources,13-1075.00,28
Management of personnel resources,13-2041.00,28
Mathematics,13-1074.00,28
Operation monitoring,13-1031.01,28
Operations analysis,13-1022.00,28
Operations analysis,13-1031.02,28
Operations analysis,13-1199.05,28
Operations analysis,13-2071.01,28
Operations analysis,13-2082.00,28
Operations analysis,13-2099.02,28
Programming,13-1161.00,28
Quality control analysis,13-1031.02,28
Quality control analysis,13-2061.00,28
Quality control analysis,13-2099.02,28
Systems analysis,13-1031.02,28
Systems analysis,13-1074.00,28
Systems evaluation,13-2021.02,28
Systems evaluation,13-2072.00,28
Technology design,13-1081.02,28
Technology design,13-1199.01,28
Troubleshooting,13-1032.00,28
Troubleshooting,13-1041.01,28
Troubleshooting,13-1199.01,28
Selling or influencing others,13-2021.02,28
Assisting and caring for others,13-1023.00,28
Assisting and caring for others,13-1041.04,28
Assisting and caring for others,13-1081.02,28
Coaching and developing others,13-2071.01,28
Controlling machines and processes,13-1031.02,28
Handling and moving objects,13-1031.02,28
Handling and moving objects,13-1074.00,28
Inspecting equipment structures or material,13-1021.00,28
Inspecting equipment structures or material,13-2011.02,28
Monitoring and controlling resources,13-2071.01,28
Monitoring and controlling resources,13-2081.00,28
Performing general physical activities,13-1151.00,28
Performing general physical activities,13-2081.00,28
Repairing and maintaining electronic equipment,13-1081.02,28
Staffing organizational units,13-1041.07,28
Staffing organizational units,13-1151.00,28
Training and teaching others,13-2051.00,28
Coordinate or lead others,13-2021.02,28
Degree of automation,13-2051.00,28
Exposed to contaminants,13-1081.00,28
Exposed to high places,13-1041.01,28
Extremely bright or inadequate lighting,13-1021.00,28
Extremely bright or inadequate lighting,13-1199.02,28
Outdoors exposed to weather,13-1031.02,28
Outdoors exposed to weather,13-1081.00,28
Outdoors under cover,13-1199.02,28
Pace determined by speed of equipment,13-1199.03,28
Public speaking,13-1141.00,28
Responsible for others health and safety,13-1041.07,28
Sounds noise levels are distracting,13-2021.02,28
Spend time standing,13-1011.00,28
Spend time standing,13-1199.06,28
Spend time walking and running,13-1071.00,28
Spend time walking and running,13-2021.01,28
Spend time walking and running,13-2021.02,28
Communications and media,13-1071.00,29
Communications and media,13-2041.00,29
Communications and media,13-2099.01,29
Education and training,13-2011.01,29
Education and training,13-2099.01,29
Engineering and technology,13-1021.00,29
Engineering and technology,13-1199.06,29
Fine arts,13-1121.00,29
Geography,13-1011.00,29
History and archeology,13-1041.03,29
Mechanical,13-1022.00,29
Personnel and human resources,13-1031.02,29
Personnel and human resources,13-1199.01,29
Psychology,13-1041.01,29
